plan1,plan2,kappa_corrvalue,kappa_pvalue
SSP126,SSP126,1,0
SSP126,SSP245,0.15283170317925,0
SSP126,SSP585,0.142652748532181,0
SSP126,uninformed,-0.00636147691882432,0.248304849863634
SSP245,SSP126,0.15283170317925,0
SSP245,SSP245,1,0
SSP245,SSP585,0.158097479006041,0
SSP245,uninformed,0.0302526540242034,2.08557424663525e-08
SSP585,SSP126,0.142652748532181,0
SSP585,SSP245,0.158097479006041,0
SSP585,SSP585,1,0
SSP585,uninformed,0.0332295572231133,3.43487016607469e-10
uninformed,SSP126,-0.00636147691882432,0.248304849863634
uninformed,SSP245,0.0302526540242034,2.08557424663525e-08
uninformed,SSP585,0.0332295572231133,3.43487016607469e-10
uninformed,uninformed,1,0
