sum_area,total_cost,median_velocity,median_RCE,percent_area,num_pu,target,scenario
4393537.2,22960.9943696931,-0.06998096406459808,1.3844146393239498,5.16025942287809,1647,20,SSP126
5716666.800000001,21588.025169607718,1.8283313512802124,14.186785370111465,6.714290190180782,2143,20,SSP245
6042114,21589.172573936172,10.857385158538818,76.04371309280396,7.096531628912492,2265,20,SSP585
3734640.000000001,19620.23224860616,NA,NA,4.386377165773727,1400,20,uninformed
6303538.8,40010.409731410444,-0.03188863396644592,1.421696413308382,7.403578030516652,2363,30,SSP126
8314909.199999999,36831.063507404644,1.8701231479644775,14.50788602232933,9.7659554469405,3117,30,SSP245
8704378.8,38072.53303710045,10.824091911315918,74.66498613357544,10.223391922799763,3263,30,SSP585
5601960.000000001,32196.822253395803,NA,NA,6.579565748660589,2100,30,uninformed
8061487.200000002,59015.29596375115,-0.06139630079269409,1.4053553808480501,9.468308424977288,3022,40,SSP126
10670399.999999996,54405.59782879567,1.8944114446640015,14.472086727619171,12.532506187924925,4000,40,SSP245
10937160.000000002,58956.0430946243,10.85953140258789,74.00181889533997,12.845818842623055,4100,40,SSP585
7469280.000000001,45409.11541702319,NA,NA,8.772754331547452,2800,40,uninformed
9744742.8,80093.14972713822,-0.07851570844650269,1.387131353840232,11.445311276122444,3653,50,SSP126
12753795.599999998,75342.88722600834,1.9048364162445068,14.476977288722992,14.97947802111727,4781,50,SSP245
12868502.400000002,82671.34724947577,10.872232437133789,73.51769804954529,15.114202462637468,4824,50,SSP585
9336600.000000002,59285.833691020496,NA,NA,10.965942914434317,3500,50,uninformed
11334632.4,103876.49463222269,-0.0786212831735611,1.362859271466732,13.312654698123257,4249,60,SSP126
14551758,100625.90771845495,1.89691561460495,14.566931128501892,17.091205313782623,5455,60,SSP245
15013252.800000003,111362.5396607751,10.891433715820312,73.75226020812988,17.63323620641038,5628,60,SSP585
11203920.000000002,73801.70547558833,NA,NA,13.159131497321178,4200,60,uninformed
13071239.999999996,130545.61372045428,-0.08156723156571388,1.3553332071751356,15.352320080208033,4900,70,SSP126
16240348.800000003,130861.67013646848,1.8815451264381409,14.566931128501892,19.074474418021747,6088,70,SSP245
17430098.400000002,144842.5553829642,10.85387134552002,73.17980229854584,20.471848857975377,6534,70,SSP585
13071240.000000002,89031.86004390288,NA,NA,15.352320080208042,4900,70,uninformed
14938559.999999996,162064.07494272757,-0.07643621414899826,1.3176358304917812,17.545508663094896,5600,80,SSP126
18022305.6,167045.01360256877,1.8709070682525635,14.528866112232208,21.167402951405208,6756,80,SSP245
19548172.800000004,184019.91647839872,10.753716468811035,72.24346995353699,22.959551336278476,7328,80,SSP585
14951898.000000002,104745.05098762084,NA,NA,17.56117429582981,5605,80,uninformed
16805879.999999993,204892.29380170908,-0.05971454828977585,1.2316600419580936,19.738697245981758,6300,90,SSP126
20089695.599999998,214209.4689224027,1.860003650188446,14.36491534113884,23.59557602531566,7531,90,SSP245
21914334,232600.5444887476,10.702460289001465,71.63696587085724,25.738634583450825,8215,90,SSP585
16827220.8,121009.84721233416,NA,NA,19.763762258357616,6308,90,uninformed
19406789.999999996,330024.6551494268,-0.01691870018839836,1.0673094540834427,22.79349562928846,7275,100,SSP126
22858664.4,341497.92585661635,1.8293535709381104,14.04532715678215,26.84776138108218,8569,100,SSP245
24851361.6,364958.89380725194,10.599058151245117,71.26842737197876,29.188206911677163,9316,100,SSP585
18694540.800000004,137768.45420386363,NA,NA,21.95695084124448,7008,100,uninformed
